TEAM_ID,SEASON,W,W_PCT
1610612761,2013-14,48.0,0.585
1610612762,2013-14,25.0,0.305
1610612764,2013-14,44.0,0.537
1610612737,2014-15,60.0,0.732
1610612738,2014-15,40.0,0.488
1610612751,2014-15,38.0,0.463
1610612766,2014-15,33.0,0.402
1610612741,2014-15,50.0,0.61
1610612739,2014-15,53.0,0.646
1610612742,2014-15,50.0,0.61
1610612743,2014-15,30.0,0.366
1610612765,2014-15,32.0,0.39
1610612744,2014-15,67.0,0.817
1610612745,2014-15,56.0,0.683
1610612754,2014-15,38.0,0.463
1610612746,2014-15,56.0,0.683
1610612747,2014-15,21.0,0.256
1610612763,2014-15,55.0,0.671
1610612748,2014-15,37.0,0.451
1610612749,2014-15,41.0,0.5
1610612750,2014-15,16.0,0.195
1610612740,2014-15,45.0,0.549
1610612752,2014-15,17.0,0.207
1610612760,2014-15,45.0,0.549
1610612753,2014-15,25.0,0.305
1610612755,2014-15,18.0,0.22
1610612756,2014-15,39.0,0.476
1610612757,2014-15,51.0,0.622
1610612758,2014-15,29.0,0.354
1610612759,2014-15,55.0,0.671
1610612761,2014-15,49.0,0.598
1610612762,2014-15,38.0,0.463
1610612764,2014-15,46.0,0.561
1610612737,2015-16,48.0,0.585
1610612738,2015-16,48.0,0.585
1610612751,2015-16,21.0,0.256
1610612766,2015-16,48.0,0.585
1610612741,2015-16,42.0,0.512
1610612739,2015-16,57.0,0.695
1610612742,2015-16,42.0,0.512
1610612743,2015-16,33.0,0.402
1610612765,2015-16,44.0,0.537
1610612744,2015-16,73.0,0.89
1610612745,2015-16,41.0,0.5
1610612754,2015-16,45.0,0.549
1610612746,2015-16,53.0,0.646
1610612747,2015-16,17.0,0.207
1610612763,2015-16,42.0,0.512
1610612748,2015-16,48.0,0.585
1610612749,2015-16,33.0,0.402
